,id,brand,model,year,color,price,fuel_type,transmission,mileage,condition,
0,1,Toyota,Camry,2022,White,,petrol,automatic,,used,
1,2,Honda,Accord,2023,Black,28000,petrol,automatic,8000.0,used,
2,3,Ford,Mustang,2021,Red,35000,petrol,manual,12000.0,used,
3,4,Chevrolet,Malibu,2020,Silver,,diesel,automatic,25000.0,used,
4,5,BMW,X5,2023,Blue,55000,petrol,automatic,5000.0,used,
5,6,Mercedes,C-Class,2022,Black,48000,,automatic,,used,
6,7,Audi,A4,2021,White,,diesel,automatic,,used,
7,8,Nissan,Altima,2023,Gray,26000,petrol,automatic,,used,
8,9,Hyundai,Elantra,2022,Red,,petrol,manual,,used,
9,10,Kia,Optima,2021,White,23000,petrol,automatic,19000.0,used,
10,11,Volkswagen,Jetta,2023,Black,24000,diesel,automatic,7000.0,used,
11,12,Subaru,Outback,2022,Green,32000,petrol,automatic,14000.0,used,
12,13,Mazda,CX-5,2021,Silver,29000,petrol,automatic,16000.0,used,
13,14,Lexus,RX,2023,White,52000,petrol,automatic,6000.0,used,
14,15,Volvo,XC60,2022,Blue,45000,petrol,automatic,12000.0,used,
15,16,Tesla,Model 3,2023,Black,48000,electric,automatic,3000.0,new,
16,17,Toyota,RAV4,2022,Gray,32000,petrol,automatic,11000.0,used,
17,18,Honda,CR-V,2023,White,34000,petrol,automatic,9000.0,used,
18,19,Ford,F-150,2021,Black,42000,diesel,automatic,18000.0,used,
19,20,Chevrolet,Equinox,2020,Blue,25000,petrol,automatic,22000.0,used,
20,21,BMW,3 Series,2023,White,46000,petrol,automatic,4000.0,used,
21,22,Mercedes,E-Class,2022,Silver,58000,petrol,automatic,13000.0,used,
22,23,Audi,Q5,2021,Black,44000,diesel,automatic,17000.0,used,
23,24,Nissan,Rogue,2023,Gray,28000,petrol,automatic,8000.0,used,
24,25,Hyundai,Tucson,2022,12000,used,,,,,
25,26,Kia,Sportage,2021,White,26000,petrol,automatic,15000.0,used,
26,27,Volkswagen,Tiguan,2023,Black,33000,petrol,automatic,6000.0,used,
27,28,Subaru,Forester,2022,Green,31000,petrol,automatic,14000.0,used,
28,29,Mazda,3,2021,Red,22000,petrol,manual,16000.0,used,
29,30,Lexus,ES,2023,White,45000,petrol,automatic,5000.0,used,
30,31,Volvo,XC90,2022,Black,62000,petrol,automatic,10000.0,used,
31,32,Tesla,Model Y,2023,Blue,52000,electric,automatic,2000.0,new,
32,33,Toyota,Highlander,2022,Silver,43000,petrol,automatic,9000.0,used,
33,34,Honda,Pilot,2023,Gray,41000,petrol,automatic,7000.0,used,
34,35,Ford,Explorer,2021,Black,38000,petrol,automatic,16000.0,used,
35,36,Chevrolet,Tahoe,2020,White,52000,diesel,automatic,21000.0,used,
36,37,BMW,X3,2023,3000,used,,,,,
37,38,Mercedes,GLC,2022,Black,54000,petrol,automatic,11000.0,used,
38,39,Audi,A6,2021,Silver,50000,diesel,automatic,19000.0,used,
